 
****************************************
Report : area
Design : SystolicPod
Version: P-2019.03-SP1
Date   : Thu Sep 16 18:43:37 2021
****************************************

Library(s) Used:

    tcbn28hpmbwp35ss0p81v125c (File: /opt/tsmc/28nm/cln28hpm/stclib/9-track/Front_End/timing_power_noise/NLDM/tcbn28hpmbwp35_120a/tcbn28hpmbwp35ss0p81v125c.db)

Number of ports:                        76213
Number of nets:                        675697
Number of cells:                       557713
Number of combinational cells:         512900
Number of sequential cells:             43783
Number of macros/black boxes:               0
Number of buf/inv:                      59234
Number of references:                     132

Combinational area:             410891.132786
Buf/Inv area:                    14814.616511
Noncombinational area:           81457.609243
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                492348.742029
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
array/PE_14_23                       367.2945      0.1     322.8255     44.4690  0.0000  ProcessingElement_552
array/PE_14_24                       364.1355      0.1     319.6665     44.4690  0.0000  ProcessingElement_551
array/PE_14_25                       366.4440      0.1     321.9750     44.4690  0.0000  ProcessingElement_550
array/PE_14_26                       366.6870      0.1     322.2180     44.4690  0.0000  ProcessingElement_549
array/PE_14_27                       365.9580      0.1     321.8535     44.1045  0.0000  ProcessingElement_548
array/PE_14_28                       366.2010      0.1     322.0965     44.1045  0.0000  ProcessingElement_547
array/PE_14_29                       365.5935      0.1     321.1245     44.4690  0.0000  ProcessingElement_546
array/PE_14_3                        367.2945      0.1     322.4610     44.8335  0.0000  ProcessingElement_572
array/PE_14_30                       366.3225      0.1     321.4890     44.8335  0.0000  ProcessingElement_545
array/PE_14_31                       366.4440      0.1     322.3395     44.1045  0.0000  ProcessingElement_544
array/PE_14_4                        370.6965      0.1     326.9565     43.7400  0.0000  ProcessingElement_571
array/PE_14_5                        365.3505      0.1     321.6105     43.7400  0.0000  ProcessingElement_570
array/PE_14_6                        364.8645      0.1     320.7600     44.1045  0.0000  ProcessingElement_569
array/PE_14_7                        367.5375      0.1     323.7975     43.7400  0.0000  ProcessingElement_568
array/PE_14_8                        366.4440      0.1     321.9750     44.4690  0.0000  ProcessingElement_567
array/PE_14_9                        365.9580      0.1     321.1245     44.8335  0.0000  ProcessingElement_566
array/PE_15_0                        369.2385      0.1     325.4985     43.7400  0.0000  ProcessingElement_543
array/PE_15_1                        366.5655      0.1     322.4610     44.1045  0.0000  ProcessingElement_542
array/PE_15_10                       366.6870      0.1     322.2180     44.4690  0.0000  ProcessingElement_533
array/PE_15_11                       366.9300      0.1     322.4610     44.4690  0.0000  ProcessingElement_532
array/PE_15_12                       367.6590      0.1     323.9190     43.7400  0.0000  ProcessingElement_531
array/PE_15_13                       365.1075      0.1     321.0030     44.1045  0.0000  ProcessingElement_530
array/PE_15_14                       364.3785      0.1     320.6385     43.7400  0.0000  ProcessingElement_529
array/PE_15_15                       366.3225      0.1     321.8535     44.4690  0.0000  ProcessingElement_528
array/PE_15_16                       368.1450      0.1     323.6760     44.4690  0.0000  ProcessingElement_527
array/PE_15_17                       367.4160      0.1     323.3115     44.1045  0.0000  ProcessingElement_526
array/PE_15_18                       367.5375      0.1     323.4330     44.1045  0.0000  ProcessingElement_525
array/PE_15_19                       365.9580      0.1     321.1245     44.8335  0.0000  ProcessingElement_524
array/PE_15_2                        366.3225      0.1     321.4890     44.8335  0.0000  ProcessingElement_541
array/PE_15_20                       366.4440      0.1     322.3395     44.1045  0.0000  ProcessingElement_523
array/PE_15_21                       366.8085      0.1     322.7040     44.1045  0.0000  ProcessingElement_522
array/PE_15_22                       368.0235      0.1     323.5545     44.4690  0.0000  ProcessingElement_521
array/PE_15_23                       366.5655      0.1     322.0965     44.4690  0.0000  ProcessingElement_520
array/PE_15_24                       365.8365      0.1     321.3675     44.4690  0.0000  ProcessingElement_519
array/PE_15_25                       366.0795      0.1     321.6105     44.4690  0.0000  ProcessingElement_518
array/PE_15_26                       365.3505      0.1     321.2460     44.1045  0.0000  ProcessingElement_517
array/PE_15_27                       364.9860      0.1     320.8815     44.1045  0.0000  ProcessingElement_516
array/PE_15_28                       367.1730      0.1     323.4330     43.7400  0.0000  ProcessingElement_515
array/PE_15_29                       365.5935      0.1     321.1245     44.4690  0.0000  ProcessingElement_514
array/PE_15_3                        364.6215      0.1     320.5170     44.1045  0.0000  ProcessingElement_540
array/PE_15_30                       365.8365      0.1     321.7320     44.1045  0.0000  ProcessingElement_513
array/PE_15_31                       363.8925      0.1     320.1525     43.7400  0.0000  ProcessingElement_512
array/PE_15_4                        367.2945      0.1     323.5545     43.7400  0.0000  ProcessingElement_539
array/PE_15_5                        366.8085      0.1     322.7040     44.1045  0.0000  ProcessingElement_538
